time,r_x,r_y,r_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,q_est_w,q_est_x,q_est_y,q_est_z,omega_est_x,omega_est_y,omega_est_z,gyro_bias_est_x,gyro_bias_est_y,gyro_bias_est_z,slider_s,slider_v,slider_s_est,slider_v_est,theta_1,theta_1_dot,theta_2,theta_2_dot,theta_1_est,theta_2_est,slosh_energy,fuel_true,fuel_est,c1_est,c2_est,k12_est,etaT_est,attitude_error_deg,thruster_0_cmd,thruster_1_cmd,thruster_2_cmd,thruster_3_cmd,thruster_4_cmd,thruster_5_cmd,thruster_0_actual,thruster_1_actual,thruster_2_actual,thruster_3_actual,thruster_4_actual,thruster_5_actual,fault_confidence_0,fault_confidence_1,fault_confidence_2,fault_confidence_3,fault_confidence_4,fault_confidence_5,detected_failed_thruster,quaternion_norm_error,total_angular_momentum_error
4.50000000e-1,1.04686550e-2,8.19496152e-3,3.10905176e-3,2.25315493e-2,2.18950633e-2,1.01315199e-2,9.04966156e-1,2.42293897e-1,-2.40581568e-1,2.53870898e-1,1.18231781e-1,-9.38107941e-2,1.44636136e-1,9.09015839e-1,2.38040854e-1,-2.35354266e-1,2.48264227e-1,1.24690245e-1,-9.86307304e-2,1.52231255e-1,-5.02208924e-3,4.97699900e-3,-4.96203898e-3,4.74500052e-1,-2.54075793e-1,4.27028021e-1,-2.42036947e-1,1.45802027e-1,-1.45356602e-1,-4.60374045e-2,2.03540911e-1,1.33014783e-1,-7.05489031e-2,4.75261281e+0,4.98444747e+0,5.04057637e+0,1.30004699e-1,9.02078929e-2,3.00076873e-1,9.13864293e-1,5.03625495e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,4.61896040e+0
5.00000000e-1,1.15929988e-2,9.31257748e-3,3.64015839e-3,2.24420577e-2,2.28150009e-2,1.11325666e-2,9.02758277e-1,2.44696236e-1,-2.42830937e-1,2.57263255e-1,1.18098205e-1,-9.45378485e-2,1.43184035e-1,9.09015839e-1,2.38040854e-1,-2.35354266e-1,2.48264227e-1,1.24690245e-1,-9.86307304e-2,1.52231255e-1,-5.02208924e-3,4.97699900e-3,-4.96203898e-3,4.61937122e-1,-2.48445577e-1,4.27028021e-1,-2.42036947e-1,1.38213283e-1,-1.58033138e-1,-3.56685468e-2,2.10873992e-1,1.33014783e-1,-7.05489031e-2,4.72777883e+0,4.98209102e+0,5.04057637e+0,1.30004699e-1,9.02078929e-2,3.00076873e-1,9.13864293e-1,5.09539343e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,5.08493366e+0
5.50000000e-1,1.27122201e-2,1.04762030e-2,4.22221972e-3,2.23266994e-2,2.37357119e-2,1.21690618e-2,9.00531845e-1,2.47101820e-1,-2.45080214e-1,2.60612310e-1,1.17989644e-1,-9.50779422e-2,1.41826537e-1,9.04077479e-1,2.43381354e-1,-2.40743198e-1,2.55836162e-1,1.24485309e-1,-1.00022596e-1,1.49241058e-1,-5.05163066e-3,5.04582163e-3,-5.04205425e-3,4.49683475e-1,-2.41704381e-1,4.24492205e-1,-2.50285367e-1,1.30015167e-1,-1.69722632e-1,-2.49844840e-2,2.16139015e-1,1.39013679e-1,-6.43996959e-2,4.69606436e+0,4.97973458e+0,4.85323052e+0,1.30005578e-1,9.02298645e-2,3.00090221e-1,9.17555150e-1,5.15438717e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,5.52430645e+0
6.00000000e-1,1.38261523e-2,1.16864436e-2,4.85775351e-3,2.22303442e-2,2.46799029e-2,1.32707943e-2,8.98287569e-1,2.49509461e-1,-2.47325456e-1,2.63921563e-1,1.17902632e-1,-9.54259081e-2,1.40569230e-1,9.04077479e-1,2.43381354e-1,-2.40743198e-1,2.55836162e-1,1.24485309e-1,-1.00022596e-1,1.49241058e-1,-5.05163066e-3,5.04582163e-3,-5.04205425e-3,4.37766283e-1,-2.34987247e-1,4.24492205e-1,-2.50285367e-1,1.21258312e-1,-1.80374849e-1,-1.40899636e-2,2.19285626e-1,1.39013679e-1,-6.43996959e-2,4.65734958e+0,4.97737814e+0,4.85323052e+0,1.30005578e-1,9.02298645e-2,3.00090221e-1,9.17555150e-1,5.21322383e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,5.93667810e+0
6.50000000e-1,1.49359600e-2,1.29446340e-2,5.55009512e-3,2.21614976e-2,2.56539406e-2,1.44405669e-2,8.96026170e-1,2.51917785e-1,-2.49562712e-1,2.67194659e-1,1.17833429e-1,-9.55785982e-2,1.39417397e-1,8.99410788e-1,2.48311542e-1,-2.45715330e-1,2.62727215e-1,1.24259223e-1,-1.01236920e-1,1.46956210e-1,-5.02409028e-3,5.06857930e-3,-5.06136376e-3,4.26178509e-1,-2.28527547e-1,4.12786332e-1,-2.43002659e-1,1.11995704e-1,-1.89946006e-1,-3.09173423e-3,2.20284163e-1,1.36916516e-1,-5.78118576e-2,4.61174625e+0,4.97502169e+0,4.82082612e+0,1.30006088e-1,9.02426253e-2,3.00098682e-1,9.20950738e-1,5.27189125e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,6.32218695e+0
7.00000000e-1,1.60427725e-2,1.42522017e-2,6.30234444e-3,2.21103009e-2,2.66551403e-2,1.56661157e-2,8.93748373e-1,2.54325242e-1,-2.51788072e-1,2.70435359e-1,1.17778056e-1,-9.55347399e-2,1.38375637e-1,8.99410788e-1,2.48311542e-1,-2.45715330e-1,2.62727215e-1,1.24259223e-1,-1.01236920e-1,1.46956210e-1,-5.02409028e-3,5.06857930e-3,-5.06136376e-3,4.14913152e-1,-2.22090473e-1,4.12786332e-1,-2.43002659e-1,1.02282345e-1,-1.98399359e-1,7.90249238e-3,2.19125778e-1,1.36916516e-1,-5.78118576e-2,4.55959564e+0,4.97266525e+0,4.82082612e+0,1.30006088e-1,9.02426253e-2,3.00098682e-1,9.20950738e-1,5.33037758e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,6.68146779e+0
7.50000000e-1,1.71477211e-2,1.56106684e-2,7.11736572e-3,2.20866173e-2,2.76899694e-2,1.69503881e-2,8.91454906e-1,2.56730116e-1,-2.53997708e-1,2.73647514e-1,1.17732325e-1,-9.52949642e-2,1.37447853e-1,8.94490609e-1,2.53790972e-1,-2.50667366e-1,2.69522847e-1,1.24455007e-1,-1.00864182e-1,1.44053741e-1,-5.05891903e-3,5.11793401e-3,-5.06206696e-3,4.03961883e-1,-2.15963846e-1,3.98404804e-1,-2.34047749e-1,9.21748944e-2,-2.05705372e-1,1.87850842e-2,2.15822525e-1,1.35651790e-1,-4.77549612e-2,4.50145718e+0,4.97030880e+0,4.83649398e+0,1.30006448e-1,9.02516041e-2,3.00103990e-1,9.24074679e-1,5.38867141e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,7.01563106e+0
8.00000000e-1,1.82518710e-2,1.70215970e-2,7.99771372e-3,2.20780104e-2,2.87535566e-2,1.82780045e-2,8.89146492e-1,2.59130539e-1,-2.56187912e-1,2.76835028e-1,1.17691885e-1,-9.48617998e-2,1.36637222e-1,8.94490609e-1,2.53790972e-1,-2.50667366e-1,2.69522847e-1,1.24455007e-1,-1.00864182e-1,1.44053741e-1,-5.05891903e-3,5.11793401e-3,-5.06206696e-3,3.93316413e-1,-2.09858448e-1,3.98404804e-1,-2.34047749e-1,8.17313044e-2,-2.11841852e-1,2.94495325e-2,2.10407209e-1,1.35651790e-1,-4.77549612e-2,4.43808983e+0,4.96795236e+0,4.83649398e+0,1.30006448e-1,9.02516041e-2,3.00103990e-1,9.24074679e-1,5.44676186e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,7.32624248e+0
8.50000000e-1,1.93569266e-2,1.84869277e-2,8.94622632e-3,2.21222902e-2,2.98659390e-2,1.96759003e-2,8.86823842e-1,2.61524507e-1,-2.58355142e-1,2.80001834e-1,1.17652268e-1,-9.42397379e-2,1.35946330e-1,8.89482977e-1,2.59055498e-1,-2.55432743e-1,2.76521965e-1,1.24177984e-1,-1.00855425e-1,1.42418427e-1,-5.06473161e-3,5.10875670e-3,-5.08630650e-3,3.82949040e-1,-2.04839850e-1,3.80969938e-1,-2.17258026e-1,7.10104544e-2,-2.16793866e-1,3.97914810e-2,2.02933101e-1,1.28990038e-1,-3.34465689e-2,4.37042517e+0,4.96559591e+0,4.89874707e+0,1.30006788e-1,9.02601084e-2,3.00106035e-1,9.26948705e-1,5.50463874e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,7.61530688e+0
9.00000000e-1,2.04644680e-2,2.00085837e-2,9.96541779e-3,2.21769749e-2,3.10062743e-2,2.11039142e-2,8.84487644e-1,2.63909898e-1,-2.60496061e-1,2.83151859e-1,1.17608943e-1,-9.34350927e-2,1.35376991e-1,8.89482977e-1,2.59055498e-1,-2.55432743e-1,2.76521965e-1,1.24177984e-1,-1.00855425e-1,1.42418427e-1,-5.06473161e-3,5.10875670e-3,-5.08630650e-3,3.72832097e-1,-1.99841124e-1,3.80969938e-1,-2.17258026e-1,6.00717880e-2,-2.20553910e-1,4.97097363e-2,1.93473246e-1,1.28990038e-1,-3.34465689e-2,4.29953734e+0,4.96323947e+0,4.89874707e+0,1.30006788e-1,9.02601084e-2,3.00106035e-1,9.26948705e-1,5.56229272e+1,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,1.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,0.00000000e+0,-1.00000000e+0,0.00000000e+0,7.88522958e+0
