t,attDeg,wParallel,wPerp,primitive,predAtt,actualAtt,predMinusActual,fuelMargin,phase,reachable,fdir
0.001,53.4402,0.09674,0.14814,pulse:0+5:0.160,55.0362,53.4402,-1.5960,2.1997,guidance,0,
0.098,57.4358,0.11040,0.14208,pulse:0+5:0.160,55.0362,57.4358,2.3996,2.2546,guidance,0,
0.198,59.1167,0.11541,0.13532,pulse:0+5:0.160,55.0362,59.1167,4.0805,2.2645,guidance,0,
0.302,60.3795,0.11902,0.12845,pulse:0+5:0.160,55.0362,60.3795,5.3433,2.2519,guidance,0,
0.399,61.3231,0.12250,0.12404,pulse:0+5:0.160,55.0362,61.3231,6.2870,2.1412,guidance,0,
0.502,62.2463,0.12542,0.11948,pulse:0+5:0.160,64.2793,62.2463,-2.0330,2.2654,guidance,0,
0.600,63.0706,0.12771,0.11514,pulse:0+5:0.160,64.2793,63.0706,-1.2088,2.2301,guidance,0,
0.698,63.9117,0.12875,0.11218,pulse:0+5:0.160,64.2793,63.9117,-0.3677,2.1564,guidance,0,
0.800,64.6994,0.12875,0.10893,pulse:0+5:0.160,64.2793,64.6994,0.4201,2.1728,guidance,0,
0.899,65.4681,0.13017,0.10714,pulse:0+5:0.160,64.2793,65.4681,1.1888,2.3299,guidance,0,
0.997,66.2349,0.12954,0.10734,pulse:0+5:0.160,64.2793,66.2349,1.9555,2.0825,guidance,0,
1.100,66.9918,0.12915,0.10801,pulse:0+5:0.160,69.0783,66.9918,-2.0864,2.1844,guidance,0,
1.203,67.7546,0.12806,0.10886,pulse:0+5:0.160,69.0783,67.7546,-1.3237,2.2216,guidance,0,
1.251,68.1219,0.12767,0.11059,pulse:0+5:0.160,69.0783,68.1219,-0.9564,2.2313,guidance,0,
1.402,69.1669,0.12418,0.11373,pulse:0+5:0.160,69.0783,69.1669,0.0886,2.1835,guidance,0,
1.497,69.8128,0.12271,0.11662,pulse:0+5:0.160,69.0783,69.8128,0.7346,2.1184,guidance,0,
1.600,70.5306,0.12196,0.12113,pulse:0+5:0.160,69.0783,70.5306,1.4523,2.2836,guidance,0,
1.700,71.2012,0.12020,0.12542,pulse:0+5:0.160,73.1499,71.2012,-1.9487,2.0715,guidance,0,
1.803,71.8715,0.12079,0.12933,pulse:0+5:0.160,73.1499,71.8715,-1.2784,2.1614,guidance,0,
1.900,72.5029,0.11875,0.13278,pulse:0+5:0.160,73.1499,72.5029,-0.6470,2.2511,guidance,0,
2.002,73.1553,0.11851,0.13610,pulse:0+5:0.160,73.1499,73.1553,0.0054,2.0522,guidance,0,
2.099,73.7940,0.11895,0.13890,pulse:0+5:0.160,73.1499,73.7940,0.6441,2.0632,guidance,0,
2.199,74.4561,0.12076,0.14166,pulse:0+5:0.160,73.1499,74.4561,1.3062,2.0203,guidance,0,
2.300,75.1371,0.12241,0.14366,pulse:0+5:0.160,77.1273,75.1371,-1.9902,2.0519,guidance,0,
2.402,75.8228,0.12547,0.14399,pulse:0+5:0.160,77.1273,75.8228,-1.3045,2.0123,guidance,0,
2.499,76.4872,0.12785,0.14432,pulse:0+5:0.160,77.1273,76.4872,-0.6401,2.1784,guidance,0,
2.599,77.1706,0.13014,0.14260,pulse:0+5:0.160,77.1273,77.1706,0.0433,2.1891,guidance,0,
2.701,77.9344,0.13418,0.14215,pulse:0+5:0.160,77.1273,77.9344,0.8071,2.1683,guidance,0,
2.800,78.6972,0.13809,0.14035,pulse:0+5:0.160,77.1273,78.6972,1.5699,2.2154,guidance,0,
2.902,79.4675,0.14213,0.13809,pulse:0+5:0.160,81.7688,79.4675,-2.3013,2.0673,guidance,0,
2.998,80.2194,0.14667,0.13522,pulse:0+5:0.160,81.7688,80.2194,-1.5494,2.2270,guidance,0,
3.102,81.0530,0.14938,0.13175,pulse:0+5:0.160,81.7688,81.0530,-0.7157,2.1535,guidance,0,
3.199,81.8470,0.15251,0.12806,pulse:0+5:0.160,81.7688,81.8470,0.0782,2.0828,guidance,0,
3.299,82.6909,0.15535,0.12414,pulse:0+5:0.160,81.7688,82.6909,0.9221,2.2483,guidance,0,
3.401,83.5675,0.15828,0.12075,pulse:0+5:0.160,81.7688,83.5675,1.7987,2.1403,guidance,0,
3.499,84.4274,0.16143,0.11763,pulse:0+5:0.160,87.0287,84.4274,-2.6012,2.2263,guidance,0,
3.598,85.2926,0.16298,0.11405,pulse:0+5:0.160,87.0287,85.2926,-1.7360,2.1854,guidance,0,
3.701,86.1895,0.16318,0.11028,pulse:0+5:0.160,87.0287,86.1895,-0.8392,2.1816,guidance,0,
3.802,87.0721,0.16166,0.10669,pulse:0+5:0.160,87.0287,87.0721,0.0434,2.1156,guidance,0,
3.902,87.9179,0.16205,0.10453,pulse:0+5:0.160,87.0287,87.9179,0.8893,2.2161,guidance,0,
3.999,88.7621,0.16111,0.10166,pulse:0+5:0.160,91.3529,88.7621,-2.5907,2.1273,guidance,0,
4.103,89.6687,0.15993,0.09996,pulse:0+5:0.160,91.3529,89.6687,-1.6841,2.1989,guidance,0,
