t,attDeg,wParallel,wPerp,primitive,predAtt,actualAtt,predMinusActual,fuelMargin,phase,reachable,fdir
0.001,63.9900,0.21160,0.03735,pulse:0+5:0.160,67.3804,63.9900,-3.3904,2.3237,guidance,0,
0.098,71.8276,0.22372,0.03987,pulse:0+5:0.160,67.3804,71.8276,4.4472,2.1611,guidance,0,
0.199,75.2550,0.22410,0.04330,pulse:0+5:0.160,67.3804,75.2550,7.8746,2.1057,guidance,0,
0.299,77.6750,0.22241,0.04644,pulse:0+5:0.160,67.3804,77.6750,10.2946,2.0582,guidance,0,
0.401,79.6285,0.22275,0.05068,pulse:0+5:0.160,67.3804,79.6285,12.2481,2.2749,guidance,0,
0.500,81.2235,0.22261,0.05298,pulse:0+5:0.160,67.3804,81.2235,13.8431,2.0804,guidance,0,
0.601,82.7645,0.22190,0.05524,pulse:0+5:0.160,86.3211,82.7645,-3.5566,2.0555,guidance,0,
0.700,84.2034,0.22079,0.05608,pulse:0+5:0.160,86.3211,84.2034,-2.1176,2.0474,guidance,0,
0.800,85.5447,0.21796,0.05708,pulse:0+5:0.160,86.3211,85.5447,-0.7764,2.0482,guidance,0,
0.897,86.8475,0.21565,0.05671,pulse:0+5:0.160,86.3211,86.8475,0.5264,2.1577,guidance,0,
1.000,88.1841,0.21460,0.05561,pulse:0+5:0.160,86.3211,88.1841,1.8631,2.1548,guidance,0,
1.097,89.4274,0.21407,0.05363,pulse:0+5:0.160,86.3211,89.4274,3.1063,2.0913,guidance,0,
1.202,90.7256,0.21309,0.05224,pulse:0+5:0.160,94.1402,90.7256,-3.4146,2.1955,guidance,0,
1.302,91.9630,0.21264,0.04918,pulse:0+5:0.160,94.1402,91.9630,-2.1772,2.1931,guidance,0,
1.403,93.1685,0.21054,0.04630,pulse:0+5:0.160,94.1402,93.1685,-0.9717,2.2983,guidance,0,
1.501,94.3411,0.20819,0.04320,pulse:0+5:0.160,94.1402,94.3411,0.2009,2.1405,guidance,0,
1.602,95.5331,0.20813,0.03961,pulse:0+5:0.160,94.1402,95.5331,1.3928,2.1298,guidance,0,
1.702,96.6994,0.20870,0.03759,pulse:0+5:0.320,101.9310,96.6994,-5.2316,2.0402,guidance,0,
1.801,97.8464,0.20942,0.03483,pulse:0+5:0.320,101.9310,97.8464,-4.0846,2.2569,guidance,0,
1.901,99.0084,0.20947,0.03248,pulse:0+5:0.320,101.9310,99.0084,-2.9226,2.1572,guidance,0,
2.001,100.1473,0.20876,0.03127,pulse:0+5:0.320,101.9310,100.1473,-1.7838,2.2996,guidance,0,
2.099,101.2703,0.20890,0.02917,pulse:0+5:0.320,101.9310,101.2703,-0.6607,2.3079,guidance,0,
2.202,102.4569,0.21080,0.02856,pulse:0+5:0.320,101.9310,102.4569,0.5259,2.2313,guidance,0,
2.302,103.6231,0.21333,0.02670,pulse:0+5:0.160,107.0394,103.6231,-3.4163,2.0566,guidance,0,
2.399,104.7526,0.21676,0.02398,pulse:0+5:0.160,107.0394,104.7526,-2.2868,2.0266,guidance,0,
2.497,105.8985,0.21827,0.02223,pulse:0+5:0.160,107.0394,105.8985,-1.1410,2.0437,guidance,0,
2.600,107.1431,0.22031,0.02051,pulse:0+5:0.160,107.0394,107.1431,0.1037,2.1713,guidance,0,
2.698,108.3242,0.22305,0.01761,pulse:0+5:0.160,107.0394,108.3242,1.2848,2.2488,guidance,0,
2.797,109.5323,0.22721,0.01512,pulse:0+5:0.160,107.0394,109.5323,2.4929,2.0665,guidance,0,
2.900,110.8045,0.23047,0.01324,pulse:0+5:0.160,114.4949,110.8045,-3.6904,2.0732,guidance,0,
2.998,112.0341,0.23475,0.01128,pulse:0+5:0.160,114.4949,112.0341,-2.4608,2.0145,guidance,0,
3.098,113.3026,0.23625,0.01154,pulse:0+5:0.160,114.4949,113.3026,-1.1923,2.0601,guidance,0,
3.201,114.6030,0.23715,0.01219,pulse:0+5:0.160,114.4949,114.6030,0.1081,2.1328,guidance,0,
3.301,115.8828,0.24007,0.01464,pulse:0+5:0.160,114.4949,115.8828,1.3879,2.0963,guidance,0,
3.399,117.1454,0.24121,0.01711,pulse:0+5:0.160,114.4949,117.1454,2.6505,2.2119,guidance,0,
3.497,118.4304,0.24302,0.02020,pulse:0+5:0.160,122.3214,118.4304,-3.8910,2.1488,guidance,0,
3.599,119.7543,0.24332,0.02265,pulse:0+5:0.160,122.3214,119.7543,-2.5671,2.2847,guidance,0,
3.702,121.0919,0.24187,0.02491,pulse:0+5:0.160,122.3214,121.0919,-1.2295,2.1890,guidance,0,
3.802,122.3666,0.24058,0.02570,pulse:0+5:0.160,122.3214,122.3666,0.0452,2.0829,guidance,0,
3.898,123.6111,0.23955,0.02771,pulse:0+5:0.160,122.3214,123.6111,1.2897,1.9898,guidance,0,
4.003,124.9222,0.23690,0.02788,pulse:0+5:0.160,128.7150,124.9222,-3.7928,2.1436,guidance,0,
4.100,126.1389,0.23452,0.02858,pulse:0+5:0.160,128.7150,126.1389,-2.5760,2.2689,guidance,0,
4.202,127.4063,0.23071,0.02765,pulse:0+5:0.160,128.7150,127.4063,-1.3087,2.2877,guidance,0,
4.297,128.5489,0.22584,0.02677,pulse:0+5:0.160,128.7150,128.5489,-0.1661,2.0777,guidance,0,
4.400,129.7486,0.22162,0.02603,pulse:0+5:0.160,128.7150,129.7486,1.0337,2.1769,guidance,0,
4.500,130.9044,0.21789,0.02467,pulse:0+5:0.160,128.7150,130.9044,2.1894,2.0605,guidance,0,
4.597,132.0003,0.21381,0.02357,pulse:0+5:0.160,135.4231,132.0003,-3.4227,2.1856,guidance,0,
4.703,133.1876,0.20974,0.02228,pulse:0+5:0.160,135.4231,133.1876,-2.2355,2.2698,guidance,0,
4.801,134.2393,0.20392,0.02074,pulse:0+5:0.160,135.4231,134.2393,-1.1837,2.1841,guidance,0,
4.898,135.2484,0.19861,0.01996,pulse:0+5:0.160,135.4231,135.2484,-0.1747,2.1098,guidance,0,
5.000,136.2804,0.19486,0.01898,pulse:0+5:0.160,135.4231,136.2804,0.8573,1.9938,guidance,0,
5.102,137.3090,0.19138,0.01841,pulse:0+5:0.160,140.3721,137.3090,-3.0630,2.0046,guidance,0,
5.202,138.3150,0.18862,0.01801,pulse:0+5:0.160,140.3721,138.3150,-2.0570,2.1279,guidance,0,
5.299,139.2509,0.18505,0.01784,pulse:0+5:0.160,140.3721,139.2509,-1.1212,2.0033,guidance,0,
5.398,140.2158,0.18174,0.01772,pulse:0+5:0.160,140.3721,140.2158,-0.1562,1.9620,guidance,0,
5.501,141.1993,0.17972,0.01799,pulse:0+5:0.160,140.3721,141.1993,0.8272,1.9593,guidance,0,
5.599,142.1304,0.17876,0.01823,pulse:0+5:0.160,140.3721,142.1304,1.7583,2.1482,guidance,0,
5.698,143.0899,0.17973,0.01865,pulse:0+5:0.160,145.9659,143.0899,-2.8761,2.0153,guidance,0,
5.799,144.0559,0.18018,0.02005,pulse:0+5:0.160,145.9659,144.0559,-1.9100,2.0171,guidance,0,
5.902,145.0172,0.17949,0.02050,pulse:0+5:0.160,145.9659,145.0172,-0.9488,1.9670,guidance,0,
5.997,145.9338,0.18014,0.02192,pulse:0+5:0.160,145.9659,145.9338,-0.0322,2.2075,guidance,0,
6.099,146.9100,0.18194,0.02426,pulse:0+5:0.160,145.9659,146.9100,0.9441,2.2152,guidance,0,
6.202,147.9247,0.18437,0.02623,pulse:0+5:0.160,150.8750,147.9247,-2.9503,2.1696,guidance,0,
6.300,148.8939,0.18720,0.02832,pulse:0+5:0.160,150.8750,148.8939,-1.9811,2.1808,guidance,0,
6.400,149.9105,0.18929,0.03006,pulse:0+5:0.160,150.8750,149.9105,-0.9645,2.0253,guidance,0,
6.503,150.9596,0.19083,0.03130,pulse:0+5:0.160,150.8750,150.9596,0.0846,2.1203,guidance,0,
6.600,151.9632,0.19419,0.03299,pulse:0+5:0.160,150.8750,151.9632,1.0882,2.0592,guidance,0,
6.702,153.0409,0.19764,0.03463,pulse:0+5:0.160,156.2037,153.0409,-3.1628,2.0596,guidance,0,
