t,attDeg,wParallel,wPerp,primitive,predAtt,actualAtt,predMinusActual,fuelMargin,phase,reachable,fdir
0.001,64.0869,0.26832,0.02107,pulse:0+5:0.160,68.3869,64.0869,-4.3000,2.3174,guidance,0,
0.101,71.9424,0.27843,0.01601,pulse:0+5:0.160,68.3869,71.9424,3.5555,2.1588,guidance,0,
0.200,75.6653,0.27841,0.01383,pulse:0+5:0.160,68.3869,75.6653,7.2785,2.2518,guidance,0,
0.300,78.3087,0.27622,0.01387,pulse:0+5:0.160,68.3869,78.3087,9.9219,2.2777,guidance,0,
0.398,80.4460,0.27589,0.01590,pulse:0+5:0.160,68.3869,80.4460,12.0591,2.0990,guidance,0,
0.500,82.4030,0.27492,0.01904,pulse:0+5:0.160,68.3869,82.4030,14.0162,2.2973,guidance,0,
0.598,84.2462,0.27433,0.02184,pulse:0+5:0.160,88.6415,84.2462,-4.3953,2.3565,guidance,0,
0.698,86.0614,0.27368,0.02258,pulse:0+5:0.160,88.6415,86.0614,-2.5801,2.0987,guidance,0,
0.797,87.7579,0.27170,0.02435,pulse:0+5:0.160,88.6415,87.7579,-0.8836,2.1767,guidance,0,
0.899,89.4779,0.27018,0.02489,pulse:0+5:0.160,88.6415,89.4779,0.8363,2.3216,guidance,0,
0.999,91.0997,0.27024,0.02447,pulse:0+5:0.160,88.6415,91.0997,2.4582,2.3084,guidance,0,
1.098,92.7285,0.27073,0.02430,pulse:0+5:0.160,88.6415,92.7285,4.0870,2.1585,guidance,0,
1.201,94.3500,0.27128,0.02438,pulse:0+5:0.160,98.6967,94.3500,-4.3468,2.3003,guidance,0,
1.300,95.9215,0.27211,0.02446,pulse:0+5:0.160,98.6967,95.9215,-2.7752,2.1557,guidance,0,
1.403,97.5598,0.27280,0.02534,pulse:0+5:0.160,98.6967,97.5598,-1.1369,2.2114,guidance,0,
1.499,99.0808,0.27198,0.02784,pulse:0+5:0.160,98.6967,99.0808,0.3841,2.1991,guidance,0,
1.602,100.7207,0.27450,0.02974,pulse:0+5:0.160,98.6967,100.7207,2.0240,2.2729,guidance,0,
1.700,102.2694,0.27556,0.03210,pulse:0+5:0.160,98.6967,102.2694,3.5726,2.2990,guidance,0,
